label,x,y,text,id,position,width,distance
Bank,1882.0,335.0,F,12,3,87.0,113.63538181394033
Bank,1996.0,400.0,LIBANO-FRANÇAISE,12,5,678.0,77.00649323271382
Bank,1127.0,627.0,15/04/21 11:47,12,6,508.0,919.6956018161661
Bank,1128.0,628.0,15/04/21,12,6,285.0,919.083238885358
Bank,1449.0,628.0,11:47,12,6,187.0,625.4126637668924
Bank,488.0,712.0,Credit advice,12,6,453.0,1556.396479050245
Bank,490.0,714.0,Credit,12,6,197.0,1554.9617358636192
Bank,724.0,706.0,advice,12,6,208.0,1327.4524473592264
Bank,486.0,769.0,Cash deposit,12,6,413.0,1573.530107751358
Bank,486.0,771.0,Cash,12,6,128.0,1574.0981544999029
Bank,646.0,770.0,deposit,12,6,250.0,1421.1298322109772
Bank,1359.0,944.0,6-001-840-JDE,12,6,466.0,888.8965069118002
Bank,2692.0,1084.0,LBP,12,7,104.0,1031.954456359388
Bank,3033.0,1084.0,"2,040,000",12,7,306.0,1287.0761438236668
Bank,2694.0,1150.0,USD,12,7,108.0,1082.834244009673
Bank,3309.0,1155.0,0,12,7,37.0,1555.2556060017916
Bank,2687.0,1209.0,USD,12,7,120.0,1124.2152818744282
Bank,3217.0,1215.0,0.66,12,7,137.0,1512.9269645293523
Bank,2630.0,1340.0,USD,12,7,176.0,1198.9637192175583
Bank,3090.0,1339.0,"1,342.11",12,7,265.0,1493.747301252792
Bank,3830.0,1306.0,A,12,7,-148.0,2081.7093937435166
Bank,2696.0,1470.0,USD,12,7,118.0,1344.2507206618861
Bank,3097.0,1466.0,"1,341.45",12,7,261.0,1587.719433653188
Bank,3032.0,1529.0,19/04/2021,12,7,330.0,1590.5360731526964
Bank,2917.0,1597.0,"1,520.0000000",12,7,448.0,1572.6283731384221
Bank,429.0,1745.0,Ordering customer :,12,6,701.0,2115.287214540853
Bank,429.0,1746.0,Ordering,12,6,284.0,2115.9595931869776
Bank,747.0,1746.0,customer,12,6,300.0,1892.7316238706426
Bank,1092.0,1810.0,regl pdld,12,6,425.0,1739.7062970513155
Bank,1162.0,1811.0,regl,12,6,150.0,1705.295575552813
Bank,1347.0,1808.0,pdld,12,6,155.0,1620.2249843771697
Bank,2865.0,1760.0,REÇU,12,7,206.0,1679.8419568518939
Bank,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,12,7,609.0,1688.8635232013273
Bank,2671.0,1878.0,ANQUE,12,7,128.0,1695.5827906652037
Bank,2809.0,1860.0,LIBANO-FRANÇAISE,12,7,356.0,1739.242651270949
Bank,3175.0,1806.0,S.A.L,12,7,93.0,1895.1751897911706
